series_id,period,value,source_column_code
cpi_all,2020-01,100.507,0001
cpi_energy,2020-01,104.993,0167
cpi_ex_rent,2020-01,100.607,0163
cpi_all,2020-02,100.264,0001
cpi_energy,2020-02,104.365,0167
cpi_ex_rent,2020-02,100.321,0163
cpi_all,2020-03,100.291,0001
cpi_energy,2020-03,103.575,0167
cpi_ex_rent,2020-03,100.356,0163
cpi_all,2020-04,100.172,0001
cpi_energy,2020-04,100.445,0167
cpi_ex_rent,2020-04,100.213,0163
cpi_all,2020-05,100.137,0001
cpi_energy,2020-05,98.920,0167
cpi_ex_rent,2020-05,100.153,0163
cpi_all,2020-06,99.942,0001
cpi_energy,2020-06,99.561,0167
cpi_ex_rent,2020-06,99.925,0163
cpi_all,2020-07,100.010,0001
cpi_energy,2020-07,99.636,0167
cpi_ex_rent,2020-07,100.005,0163
cpi_all,2020-08,100.111,0001
cpi_energy,2020-08,99.940,0167
cpi_ex_rent,2020-08,100.127,0163
cpi_all,2020-09,99.900,0001
cpi_energy,2020-09,99.043,0167
cpi_ex_rent,2020-09,99.880,0163
cpi_all,2020-10,99.849,0001
cpi_energy,2020-10,97.518,0167
cpi_ex_rent,2020-10,99.821,0163
cpi_all,2020-11,99.513,0001
cpi_energy,2020-11,96.227,0167
cpi_ex_rent,2020-11,99.420,0163
cpi_all,2020-12,99.308,0001
cpi_energy,2020-12,95.779,0167
cpi_ex_rent,2020-12,99.179,0163
cpi_all,2021-01,99.844,0001
cpi_energy,2021-01,95.901,0167
cpi_ex_rent,2021-01,99.815,0163
cpi_all,2021-02,99.771,0001
cpi_energy,2021-02,96.724,0167
cpi_ex_rent,2021-02,99.708,0163
cpi_all,2021-03,99.897,0001
cpi_energy,2021-03,98.930,0167
cpi_ex_rent,2021-03,99.862,0163
cpi_all,2021-04,99.057,0001
cpi_energy,2021-04,100.811,0167
cpi_ex_rent,2021-04,98.860,0163
cpi_all,2021-05,99.378,0001
cpi_energy,2021-05,102.729,0167
cpi_ex_rent,2021-05,99.235,0163
cpi_all,2021-06,99.489,0001
cpi_energy,2021-06,103.859,0167
cpi_ex_rent,2021-06,99.368,0163
cpi_all,2021-07,99.697,0001
cpi_energy,2021-07,105.383,0167
cpi_ex_rent,2021-07,99.617,0163
cpi_all,2021-08,99.709,0001
cpi_energy,2021-08,105.393,0167
cpi_ex_rent,2021-08,99.623,0163
cpi_all,2021-09,100.086,0001
cpi_energy,2021-09,106.369,0167
cpi_ex_rent,2021-09,100.070,0163
cpi_all,2021-10,99.936,0001
cpi_energy,2021-10,108.570,0167
cpi_ex_rent,2021-10,99.900,0163
cpi_all,2021-11,100.122,0001
cpi_energy,2021-11,111.211,0167
cpi_ex_rent,2021-11,100.120,0163
cpi_all,2021-12,100.078,0001
cpi_energy,2021-12,111.453,0167
cpi_ex_rent,2021-12,100.071,0163
cpi_all,2022-01,100.338,0001
cpi_energy,2022-01,113.093,0167
cpi_ex_rent,2022-01,100.375,0163
cpi_all,2022-02,100.716,0001
cpi_energy,2022-02,116.533,0167
cpi_ex_rent,2022-02,100.823,0163
cpi_all,2022-03,101.134,0001
cpi_energy,2022-03,119.472,0167
cpi_ex_rent,2022-03,101.315,0163
cpi_all,2022-04,101.550,0001
cpi_energy,2022-04,120.071,0167
cpi_ex_rent,2022-04,101.813,0163
cpi_all,2022-05,101.819,0001
cpi_energy,2022-05,120.326,0167
cpi_ex_rent,2022-05,102.126,0163
cpi_all,2022-06,101.831,0001
cpi_energy,2022-06,121.008,0167
cpi_ex_rent,2022-06,102.144,0163
cpi_all,2022-07,102.320,0001
cpi_energy,2022-07,122.504,0167
cpi_ex_rent,2022-07,102.724,0163
cpi_all,2022-08,102.684,0001
cpi_energy,2022-08,123.231,0167
cpi_ex_rent,2022-08,103.154,0163
cpi_all,2022-09,103.076,0001
cpi_energy,2022-09,124.318,0167
cpi_ex_rent,2022-09,103.621,0163
cpi_all,2022-10,103.679,0001
cpi_energy,2022-10,125.116,0167
cpi_ex_rent,2022-10,104.339,0163
cpi_all,2022-11,103.937,0001
cpi_energy,2022-11,126.054,0167
cpi_ex_rent,2022-11,104.642,0163
cpi_all,2022-12,104.122,0001
cpi_energy,2022-12,128.427,0167
cpi_ex_rent,2022-12,104.862,0163
cpi_all,2023-01,104.663,0001
cpi_energy,2023-01,129.550,0167
cpi_ex_rent,2023-01,105.506,0163
cpi_all,2023-02,103.996,0001
cpi_energy,2023-02,115.746,0167
cpi_ex_rent,2023-02,104.708,0163
cpi_all,2023-03,104.395,0001
cpi_energy,2023-03,114.972,0167
cpi_ex_rent,2023-03,105.186,0163
cpi_all,2023-04,105.058,0001
cpi_energy,2023-04,114.770,0167
cpi_ex_rent,2023-04,105.967,0163
cpi_all,2023-05,105.127,0001
cpi_energy,2023-05,110.449,0167
cpi_ex_rent,2023-05,106.046,0163
cpi_all,2023-06,105.196,0001
