year,series_id,label,value,unit,frequency,geography,industry_code,industry_name,measure,source_id
2018,iip_production_1000000000,鉱工業・生産,114.6,index_2020_100,calendar_year,Japan,1000000000,鉱工業,production,industry-iip-annual-20260914
2019,iip_production_1000000000,鉱工業・生産,111.6,index_2020_100,calendar_year,Japan,1000000000,鉱工業,production,industry-iip-annual-20260914
2020,iip_production_1000000000,鉱工業・生産,100.0,index_2020_100,calendar_year,Japan,1000000000,鉱工業,production,industry-iip-annual-20260914
2021,iip_production_1000000000,鉱工業・生産,105.4,index_2020_100,calendar_year,Japan,1000000000,鉱工業,production,industry-iip-annual-20260914
2022,iip_production_1000000000,鉱工業・生産,105.3,index_2020_100,calendar_year,Japan,1000000000,鉱工業,production,industry-iip-annual-20260914
2023,iip_production_1000000000,鉱工業・生産,103.9,index_2020_100,calendar_year,Japan,1000000000,鉱工業,production,industry-iip-annual-20260914
2024,iip_production_1000000000,鉱工業・生産,101.2,index_2020_100,calendar_year,Japan,1000000000,鉱工業,production,industry-iip-annual-20260914
2025,iip_production_1000000000,鉱工業・生産,100.9,index_2020_100,calendar_year,Japan,1000000000,鉱工業,production,industry-iip-annual-20260914
2018,iip_production_1100000000,製造工業・生産,114.7,index_2020_100,calendar_year,Japan,1100000000,製造工業,production,industry-iip-annual-20260914
2019,iip_production_1100000000,製造工業・生産,111.6,index_2020_100,calendar_year,Japan,1100000000,製造工業,production,industry-iip-annual-20260914
2020,iip_production_1100000000,製造工業・生産,100.0,index_2020_100,calendar_year,Japan,1100000000,製造工業,production,industry-iip-annual-20260914
2021,iip_production_1100000000,製造工業・生産,105.4,index_2020_100,calendar_year,Japan,1100000000,製造工業,production,industry-iip-annual-20260914
2022,iip_production_1100000000,製造工業・生産,105.3,index_2020_100,calendar_year,Japan,1100000000,製造工業,production,industry-iip-annual-20260914
2023,iip_production_1100000000,製造工業・生産,104.0,index_2020_100,calendar_year,Japan,1100000000,製造工業,production,industry-iip-annual-20260914
2024,iip_production_1100000000,製造工業・生産,101.2,index_2020_100,calendar_year,Japan,1100000000,製造工業,production,industry-iip-annual-20260914
2025,iip_production_1100000000,製造工業・生産,100.9,index_2020_100,calendar_year,Japan,1100000000,製造工業,production,industry-iip-annual-20260914
2018,iip_production_1101000000,鉄鋼・非鉄金属工業・生産,123.1,index_2020_100,calendar_year,Japan,1101000000,鉄鋼・非鉄金属工業,production,industry-iip-annual-20260914
2019,iip_production_1101000000,鉄鋼・非鉄金属工業・生産,116.4,index_2020_100,calendar_year,Japan,1101000000,鉄鋼・非鉄金属工業,production,industry-iip-annual-20260914
2020,iip_production_1101000000,鉄鋼・非鉄金属工業・生産,100.0,index_2020_100,calendar_year,Japan,1101000000,鉄鋼・非鉄金属工業,production,industry-iip-annual-20260914
2021,iip_production_1101000000,鉄鋼・非鉄金属工業・生産,112.7,index_2020_100,calendar_year,Japan,1101000000,鉄鋼・非鉄金属工業,production,industry-iip-annual-20260914
2022,iip_production_1101000000,鉄鋼・非鉄金属工業・生産,107.6,index_2020_100,calendar_year,Japan,1101000000,鉄鋼・非鉄金属工業,production,industry-iip-annual-20260914
2023,iip_production_1101000000,鉄鋼・非鉄金属工業・生産,104.5,index_2020_100,calendar_year,Japan,1101000000,鉄鋼・非鉄金属工業,production,industry-iip-annual-20260914
2024,iip_production_1101000000,鉄鋼・非鉄金属工業・生産,101.7,index_2020_100,calendar_year,Japan,1101000000,鉄鋼・非鉄金属工業,production,industry-iip-annual-20260914
2025,iip_production_1101000000,鉄鋼・非鉄金属工業・生産,99.9,index_2020_100,calendar_year,Japan,1101000000,鉄鋼・非鉄金属工業,production,industry-iip-annual-20260914
2018,iip_production_1101100000,鉄鋼業・生産,128.1,index_2020_100,calendar_year,Japan,1101100000,鉄鋼業,production,industry-iip-annual-20260914
2019,iip_production_1101100000,鉄鋼業・生産,121.1,index_2020_100,calendar_year,Japan,1101100000,鉄鋼業,production,industry-iip-annual-20260914
2020,iip_production_1101100000,鉄鋼業・生産,100.0,index_2020_100,calendar_year,Japan,1101100000,鉄鋼業,production,industry-iip-annual-20260914
2021,iip_production_1101100000,鉄鋼業・生産,116.7,index_2020_100,calendar_year,Japan,1101100000,鉄鋼業,production,industry-iip-annual-20260914
2022,iip_production_1101100000,鉄鋼業・生産,108.6,index_2020_100,calendar_year,Japan,1101100000,鉄鋼業,production,industry-iip-annual-20260914
2023,iip_production_1101100000,鉄鋼業・生産,106.1,index_2020_100,calendar_year,Japan,1101100000,鉄鋼業,production,industry-iip-annual-20260914
2024,iip_production_1101100000,鉄鋼業・生産,101.8,index_2020_100,calendar_year,Japan,1101100000,鉄鋼業,production,industry-iip-annual-20260914
2025,iip_production_1101100000,鉄鋼業・生産,99.9,index_2020_100,calendar_year,Japan,1101100000,鉄鋼業,production,industry-iip-annual-20260914
2018,iip_production_1101101000,鉄鋼粗製品・生産,125.2,index_2020_100,calendar_year,Japan,1101101000,鉄鋼粗製品,production,industry-iip-annual-20260914
2019,iip_production_1101101000,鉄鋼粗製品・生産,119.6,index_2020_100,calendar_year,Japan,1101101000,鉄鋼粗製品,production,industry-iip-annual-20260914
