year,exports_thousand_jpy,imports_thousand_jpy,trade_balance_thousand_jpy,mineral_fuels_imports_thousand_jpy,mineral_fuels_share_pct,period_type,status
1979,22531538859,24245350997,-1713812138,,,calendar_year,確定値
1980,29382471938,31995325202,-2612853264,,,calendar_year,確定値
1981,33468984502,31464145741,2004838761,,,calendar_year,確定値
1982,34432500947,32656302574,1776198373,,,calendar_year,確定値
1983,34909268599,30014784056,4894484543,,,calendar_year,確定値
1984,40325293701,32321126640,8004167061,,,calendar_year,確定値
1985,41955659471,31084935207,10870724264,,,calendar_year,確定値
1986,35289713887,21550717070,13738996817,,,calendar_year,確定値
1987,33315191383,21736912673,11578278710,,,calendar_year,確定値
1988,33939183158,24006319859,9932863299,4909225080,20.44971953,calendar_year,確定値
1989,37822534626,28978572581,8843962045,5916178537,20.41570033,calendar_year,確定値
1990,41456939674,33855207638,7601732036,8083186732,23.87575589,calendar_year,確定値
1991,42359892974,31900153522,10459739452,7365062591,23.08785939,calendar_year,確定値
1992,43012281444,29527419360,13484862084,6677511188,22.61461155,calendar_year,確定値
1993,40202448725,26826357239,13376091486,5474189383,20.4060109,calendar_year,確定値
1994,40497552697,28104327343,12393225354,4890437475,17.40101236,calendar_year,確定値
1995,41530895121,31548753881,9982141240,5022873193,15.9209876,calendar_year,確定値
1996,44731311206,37993421106,6737890100,6587731789,17.33913819,calendar_year,確定値
1997,50937991859,40956182573,9981809286,7542455819,18.41591512,calendar_year,確定値
1998,50645003938,36653647183,13991356755,5623158810,15.34133502,calendar_year,確定値
1999,47547556241,35268008063,12279548178,5646301223,16.00969698,calendar_year,確定値
2000,51654197760,40938422968,10715774792,8316638006,20.3149936,calendar_year,確定値
2001,48979244311,42415533002,6563711309,8523657400,20.09560365,calendar_year,確定値
2002,52108955735,42227505945,9881449790,8173924898,19.35687348,calendar_year,確定値
2003,54548350172,44362023352,10186326820,9349924242,21.07641522,calendar_year,確定値
2004,61169979094,49216636346,11953342748,10670589631,21.6808592,calendar_year,確定値
2005,65656544157,56949392181,8707151976,14559732345,25.5660891,calendar_year,確定値
2006,75246173392,67344293072,7901880320,18656553060,27.70324286,calendar_year,確定値
2007,83931437612,73135920427,10795517185,20206104914,27.62815426,calendar_year,確定値
2008,81018087607,78954749926,2063337681,27658249531,35.03050742,calendar_year,確定値
2009,54170614088,51499377779,2671236309,14201601552,27.57625852,calendar_year,確定値
2010,67399626696,60764956840,6634669856,17397958076,28.63156494,calendar_year,確定値
2011,65546474948,68111187178,-2564712230,21816149808,32.03020049,calendar_year,確定値
2012,63747572215,70688631840,-6941059625,24088213847,34.07650314,calendar_year,確定値
2013,69774192950,81242545171,-11468352221,27443829586,33.78012041,calendar_year,確定値
2014,73093028311,85909112733,-12816084422,27692447035,32.23458624,calendar_year,確定値
2015,75613928862,78405535793,-2791606931,18218145636,23.23578999,calendar_year,確定値
2016,70035770383,66041973885,3993796498,12052006637,18.24901033,calendar_year,確定値
2017,78286457048,75379231107,2907225941,15839991985,21.01373515,calendar_year,確定値
2018,81478752674,82703304395,-1224551721,19294048227,23.32923499,calendar_year,確定値
2019,76931664915,78599509951,-1667845036,16950647656,21.56584394,calendar_year,確定値
2020,68399121047,68010831589,388289458,11254098773,16.54750943,calendar_year,確定値
2021,83091420293,84875044591,-1783624298,17007139187,20.03785597,calendar_year,確定値
2022,98173612089,118503152779,-20329540690,33699030785,28.43724407,calendar_year,確定値
2023,100873049041,110395119330,-9522070289,27345603129,24.77066314,calendar_year,確定値
2024,107087511087,112715960939,-5628449852,25506143282,22.62868814,calendar_year,確定値
2025,110400454682,113330098822,-2929644140,22144975571,19.540242,calendar_year,確々報値
