article,chart,period_type,period,series_id,label,value,unit,source_urls,source_sha256,derivation
energy,self-sufficiency,fiscal_year,2010,self-sufficiency-iea,エネルギー自給率（IEAベース）,20.2,%,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040391289&fileKind=2,bd6f33b998aa00897692cec5e90a3906b98935733edbdba0a472742f994f8d7f,需給実績確報概要PDF7頁の「エネルギー自給率(IEAベース)」2010〜2024年度の掲載値を抽出。
energy,self-sufficiency,fiscal_year,2011,self-sufficiency-iea,エネルギー自給率（IEAベース）,11.5,%,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040391289&fileKind=2,bd6f33b998aa00897692cec5e90a3906b98935733edbdba0a472742f994f8d7f,需給実績確報概要PDF7頁の「エネルギー自給率(IEAベース)」2010〜2024年度の掲載値を抽出。
energy,self-sufficiency,fiscal_year,2012,self-sufficiency-iea,エネルギー自給率（IEAベース）,6.7,%,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040391289&fileKind=2,bd6f33b998aa00897692cec5e90a3906b98935733edbdba0a472742f994f8d7f,需給実績確報概要PDF7頁の「エネルギー自給率(IEAベース)」2010〜2024年度の掲載値を抽出。
energy,self-sufficiency,fiscal_year,2013,self-sufficiency-iea,エネルギー自給率（IEAベース）,6.5,%,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040391289&fileKind=2,bd6f33b998aa00897692cec5e90a3906b98935733edbdba0a472742f994f8d7f,需給実績確報概要PDF7頁の「エネルギー自給率(IEAベース)」2010〜2024年度の掲載値を抽出。
energy,self-sufficiency,fiscal_year,2014,self-sufficiency-iea,エネルギー自給率（IEAベース）,6.3,%,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040391289&fileKind=2,bd6f33b998aa00897692cec5e90a3906b98935733edbdba0a472742f994f8d7f,需給実績確報概要PDF7頁の「エネルギー自給率(IEAベース)」2010〜2024年度の掲載値を抽出。
energy,self-sufficiency,fiscal_year,2015,self-sufficiency-iea,エネルギー自給率（IEAベース）,7.3,%,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040391289&fileKind=2,bd6f33b998aa00897692cec5e90a3906b98935733edbdba0a472742f994f8d7f,需給実績確報概要PDF7頁の「エネルギー自給率(IEAベース)」2010〜2024年度の掲載値を抽出。
energy,self-sufficiency,fiscal_year,2016,self-sufficiency-iea,エネルギー自給率（IEAベース）,8.0,%,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040391289&fileKind=2,bd6f33b998aa00897692cec5e90a3906b98935733edbdba0a472742f994f8d7f,需給実績確報概要PDF7頁の「エネルギー自給率(IEAベース)」2010〜2024年度の掲載値を抽出。
energy,self-sufficiency,fiscal_year,2017,self-sufficiency-iea,エネルギー自給率（IEAベース）,9.5,%,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040391289&fileKind=2,bd6f33b998aa00897692cec5e90a3906b98935733edbdba0a472742f994f8d7f,需給実績確報概要PDF7頁の「エネルギー自給率(IEAベース)」2010〜2024年度の掲載値を抽出。
energy,self-sufficiency,fiscal_year,2018,self-sufficiency-iea,エネルギー自給率（IEAベース）,11.7,%,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040391289&fileKind=2,bd6f33b998aa00897692cec5e90a3906b98935733edbdba0a472742f994f8d7f,需給実績確報概要PDF7頁の「エネルギー自給率(IEAベース)」2010〜2024年度の掲載値を抽出。
energy,self-sufficiency,fiscal_year,2019,self-sufficiency-iea,エネルギー自給率（IEAベース）,12.1,%,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040391289&fileKind=2,bd6f33b998aa00897692cec5e90a3906b98935733edbdba0a472742f994f8d7f,需給実績確報概要PDF7頁の「エネルギー自給率(IEAベース)」2010〜2024年度の掲載値を抽出。
