article,chart,period_type,period,series_id,label,value,unit,source_urls,source_sha256,derivation
industry,industry-comparison,calendar_year,2018,生産計-1103000000,生産用機械工業,123.3,2020年=100,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040172370&fileKind=0,4bcaf7a01d8f6ad2603bb32df5dd7f7356ecf6df42739ab786fd5a763bca20c5,生産計シートの1103000000、1105000000、1107000000、1114000000の2018CY〜2025CYを抽出。
industry,industry-comparison,calendar_year,2018,生産計-1105000000,電子部品・デバイス工業,103.4,2020年=100,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040172370&fileKind=0,4bcaf7a01d8f6ad2603bb32df5dd7f7356ecf6df42739ab786fd5a763bca20c5,生産計シートの1103000000、1105000000、1107000000、1114000000の2018CY〜2025CYを抽出。
industry,industry-comparison,calendar_year,2018,生産計-1107000000,輸送機械工業,121.4,2020年=100,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040172370&fileKind=0,4bcaf7a01d8f6ad2603bb32df5dd7f7356ecf6df42739ab786fd5a763bca20c5,生産計シートの1103000000、1105000000、1107000000、1114000000の2018CY〜2025CYを抽出。
industry,industry-comparison,calendar_year,2018,生産計-1114000000,食料品・たばこ工業,102.6,2020年=100,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040172370&fileKind=0,4bcaf7a01d8f6ad2603bb32df5dd7f7356ecf6df42739ab786fd5a763bca20c5,生産計シートの1103000000、1105000000、1107000000、1114000000の2018CY〜2025CYを抽出。
industry,industry-comparison,calendar_year,2019,生産計-1103000000,生産用機械工業,112.1,2020年=100,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040172370&fileKind=0,4bcaf7a01d8f6ad2603bb32df5dd7f7356ecf6df42739ab786fd5a763bca20c5,生産計シートの1103000000、1105000000、1107000000、1114000000の2018CY〜2025CYを抽出。
industry,industry-comparison,calendar_year,2019,生産計-1105000000,電子部品・デバイス工業,98.6,2020年=100,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040172370&fileKind=0,4bcaf7a01d8f6ad2603bb32df5dd7f7356ecf6df42739ab786fd5a763bca20c5,生産計シートの1103000000、1105000000、1107000000、1114000000の2018CY〜2025CYを抽出。
industry,industry-comparison,calendar_year,2019,生産計-1107000000,輸送機械工業,120.9,2020年=100,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040172370&fileKind=0,4bcaf7a01d8f6ad2603bb32df5dd7f7356ecf6df42739ab786fd5a763bca20c5,生産計シートの1103000000、1105000000、1107000000、1114000000の2018CY〜2025CYを抽出。
industry,industry-comparison,calendar_year,2019,生産計-1114000000,食料品・たばこ工業,103.2,2020年=100,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040172370&fileKind=0,4bcaf7a01d8f6ad2603bb32df5dd7f7356ecf6df42739ab786fd5a763bca20c5,生産計シートの1103000000、1105000000、1107000000、1114000000の2018CY〜2025CYを抽出。
industry,industry-comparison,calendar_year,2020,生産計-1103000000,生産用機械工業,100,2020年=100,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040172370&fileKind=0,4bcaf7a01d8f6ad2603bb32df5dd7f7356ecf6df42739ab786fd5a763bca20c5,生産計シートの1103000000、1105000000、1107000000、1114000000の2018CY〜2025CYを抽出。
industry,industry-comparison,calendar_year,2020,生産計-1105000000,電子部品・デバイス工業,100,2020年=100,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040172370&fileKind=0,4bcaf7a01d8f6ad2603bb32df5dd7f7356ecf6df42739ab786fd5a763bca20c5,生産計シートの1103000000、1105000000、1107000000、1114000000の2018CY〜2025CYを抽出。
