article,chart,period_type,period,series_id,label,value,unit,source_urls,source_sha256,derivation
industry,production-shipments,calendar_year,2018,生産計-1100000000,製造工業・生産,114.7,2020年=100,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040172370&fileKind=0,4bcaf7a01d8f6ad2603bb32df5dd7f7356ecf6df42739ab786fd5a763bca20c5,生産計・出荷計シート、業種コード1100000000（製造工業）、2018CY〜2025CYを抽出。単位変換なし。
industry,production-shipments,calendar_year,2018,出荷計-1100000000,製造工業・出荷,114.9,2020年=100,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040172370&fileKind=0,4bcaf7a01d8f6ad2603bb32df5dd7f7356ecf6df42739ab786fd5a763bca20c5,生産計・出荷計シート、業種コード1100000000（製造工業）、2018CY〜2025CYを抽出。単位変換なし。
industry,production-shipments,calendar_year,2019,生産計-1100000000,製造工業・生産,111.6,2020年=100,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040172370&fileKind=0,4bcaf7a01d8f6ad2603bb32df5dd7f7356ecf6df42739ab786fd5a763bca20c5,生産計・出荷計シート、業種コード1100000000（製造工業）、2018CY〜2025CYを抽出。単位変換なし。
industry,production-shipments,calendar_year,2019,出荷計-1100000000,製造工業・出荷,112,2020年=100,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040172370&fileKind=0,4bcaf7a01d8f6ad2603bb32df5dd7f7356ecf6df42739ab786fd5a763bca20c5,生産計・出荷計シート、業種コード1100000000（製造工業）、2018CY〜2025CYを抽出。単位変換なし。
industry,production-shipments,calendar_year,2020,生産計-1100000000,製造工業・生産,100,2020年=100,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040172370&fileKind=0,4bcaf7a01d8f6ad2603bb32df5dd7f7356ecf6df42739ab786fd5a763bca20c5,生産計・出荷計シート、業種コード1100000000（製造工業）、2018CY〜2025CYを抽出。単位変換なし。
industry,production-shipments,calendar_year,2020,出荷計-1100000000,製造工業・出荷,100,2020年=100,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040172370&fileKind=0,4bcaf7a01d8f6ad2603bb32df5dd7f7356ecf6df42739ab786fd5a763bca20c5,生産計・出荷計シート、業種コード1100000000（製造工業）、2018CY〜2025CYを抽出。単位変換なし。
industry,production-shipments,calendar_year,2021,生産計-1100000000,製造工業・生産,105.4,2020年=100,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040172370&fileKind=0,4bcaf7a01d8f6ad2603bb32df5dd7f7356ecf6df42739ab786fd5a763bca20c5,生産計・出荷計シート、業種コード1100000000（製造工業）、2018CY〜2025CYを抽出。単位変換なし。
industry,production-shipments,calendar_year,2021,出荷計-1100000000,製造工業・出荷,104.4,2020年=100,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040172370&fileKind=0,4bcaf7a01d8f6ad2603bb32df5dd7f7356ecf6df42739ab786fd5a763bca20c5,生産計・出荷計シート、業種コード1100000000（製造工業）、2018CY〜2025CYを抽出。単位変換なし。
industry,production-shipments,calendar_year,2022,生産計-1100000000,製造工業・生産,105.3,2020年=100,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040172370&fileKind=0,4bcaf7a01d8f6ad2603bb32df5dd7f7356ecf6df42739ab786fd5a763bca20c5,生産計・出荷計シート、業種コード1100000000（製造工業）、2018CY〜2025CYを抽出。単位変換なし。
industry,production-shipments,calendar_year,2022,出荷計-1100000000,製造工業・出荷,103.9,2020年=100,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040172370&fileKind=0,4bcaf7a01d8f6ad2603bb32df5dd7f7356ecf6df42739ab786fd5a763bca20c5,生産計・出荷計シート、業種コード1100000000（製造工業）、2018CY〜2025CYを抽出。単位変換なし。
