《中東》  【年別】　（単位：千円） ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDDLE EAST  Calender Year Data  (a thousand yen) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years,Exp-Total,Imp-Total,Exp-133,Imp-133,Exp-134,Imp-134,Exp-135,Imp-135,Exp-136,Imp-136,Exp-137,Imp-137,Exp-138,Imp-138,Exp-140,Imp-140,Exp-141,Imp-141,Exp-142,Imp-142,Exp-143,Imp-143,Exp-144,Imp-144,Exp-145,Imp-145,Exp-146,Imp-146,Exp-147,Imp-147,Exp-148,Imp-148,Exp-149,Imp-149,Exp-158,Imp-158
,,,IRAN,IRAN,IRAQ,IRAQ,BAHRAIN,BAHRAIN,P YEMEN,P YEMEN,SU ARAB,SU ARAB,KUWAIT,KUWAIT,QATAR,QATAR,OMAN,OMAN,YEMEN,YEMEN,ISRAEL,ISRAEL,JORDAN,JORDAN,SYRIA,SYRIA,LEBANON,LEBANON,U ARB E,U ARB E,GAZA,GAZA,YEMEN,YEMEN,W B G S,W B G S
1979 ,2105730184 ,6413778225 ,208648536 ,964721568 ,355453802 ,399547658 ,32453903 ,76751501 ,12207470 ,8011068 ,840756447 ,2660812246 ,194462638 ,949729913 ,52392792 ,213514345 ,42225957 ,292781871 ,31544097 ,1022795 ,30579162 ,43652989 ,23180438 ,3521349 ,31191931 ,301455 ,20560380 ,147111 ,229967510 ,799262356 ,105121 ,0 ,0 ,0 ,0 ,0 
1980 ,2933212183 ,10010209837 ,357766845 ,986138130 ,496164947 ,988059201 ,40744127 ,109404889 ,18905910 ,3876128 ,1099747003 ,4427934587 ,287792419 ,788336182 ,48850249 ,403562200 ,68667586 ,394795871 ,51664839 ,232916 ,24482557 ,51705229 ,43729403 ,5016440 ,44583797 ,638407 ,43262684 ,95584 ,306622745 ,1850414073 ,227072 ,0 ,0 ,0 ,0 ,0 
1981 ,3435192424 ,9207419681 ,331756112 ,428159288 ,668033085 ,210219074 ,44767386 ,92225275 ,23379961 ,3403303 ,1296337258 ,4704204995 ,364573600 ,786282621 ,59178391 ,488131930 ,100743805 ,507305503 ,48553027 ,1972401 ,31181567 ,44683299 ,48066455 ,3934350 ,56177748 ,2360934 ,34600471 ,34743 ,327832577 ,1934501965 ,10981 ,0 ,0 ,0 ,0 ,0 
1982 ,3898305179 ,9267392883 ,234825792 ,631562877 ,680208317 ,191285396 ,56674693 ,67906134 ,22588377 ,4742770 ,1645551627 ,5072198307 ,447224650 ,394683192 ,86382812 ,444781412 ,114234819 ,424420270 ,47834706 ,366782 ,50238662 ,46258403 ,61959365 ,4378838 ,41990201 ,386924 ,39211982 ,28436 ,369353268 ,1984393142 ,25908 ,0 ,0 ,0 ,0 ,0 
1983 ,3704839537 ,7938770894 ,670063714 ,1003716891 ,149655709 ,33049267 ,78130734 ,98958000 ,19227507 ,7337419 ,1587712421 ,3684166368 ,419117234 ,329107630 ,55349203 ,404311900 ,111215248 ,479145687 ,44767890 ,310577 ,63324023 ,44675043 ,69602436 ,4810788 ,59142272 ,342218 ,55201354 ,379903 ,322326734 ,1848459203 ,3058 ,0 ,0 ,0 ,0 ,0 
1984 ,2956865090 ,7746456968 ,397157890 ,671532064 ,191241454 ,40313377 ,64884508 ,85467681 ,14290654 ,10912962 ,1329205005 ,3490046400 ,338465751 ,375506077 ,41377932 ,613866416 ,119927385 ,574748036 ,42777559 ,184630 ,41137785 ,45108187 ,48575781 ,6305857 ,27437634 ,1127075 ,33971041 ,385068 ,266399155 ,1830953138 ,15556 ,0 ,0 ,0 ,0 ,0 
1985 ,2612178003 ,7039318382 ,317356149 ,601422062 ,308663625 ,141425939 ,46590202 ,69498393 ,9186176 ,9711548 ,939465047 ,2489428936 ,369567688 ,278453626 ,39630289 ,520373685 ,133510240 ,736822156 ,29950323 ,3309494 ,40986463 ,51701925 ,45811868 ,6826365 ,30156549 ,729805 ,22871415 ,333523 ,278427733 ,2129280925 ,4236 ,0 ,0 ,0 ,0 ,0 
1986 ,1484195941 ,3168507802 ,195659610 ,249949383 ,208978334 ,168682728 ,20664032 ,50311200 ,3338850 ,5358659 ,471099305 ,903738350 ,208137086 ,203944272 ,25300319 ,198939551 ,49606442 ,282992906 ,20843123 ,198363 ,45944710 ,54268712 ,31239775 ,5141181 ,15628040 ,1109051 ,12317082 ,157839 ,175434907 ,1043715607 ,4326 ,0 ,0 ,0 ,0 ,0 
1987 ,1154674128 ,2897696649 ,152769704 ,228814469 ,56466871 ,97860528 ,17093053 ,44248419 ,4514524 ,3102171 ,469917963 ,1066263054 ,125188683 ,259542316 ,21889256 ,129862416 ,37885413 ,206352156 ,8820979 ,326559 ,50160382 ,69912213 ,20697914 ,4414687 ,19145361 ,609518 ,7729521 ,264964 ,162394504 ,786123179 ,0 ,0 ,0 ,0 ,0 ,0 
