Åsê¢äEÅt  ÅyîNï ÅzÅ@ÅiíPà ÅFêÁâ~Åj ,,
WORLD  Calender Year Data  (a thousand yen) ,,
Years,Exp-Total,Imp-Total
,,
1979 ,22531538859 ,24245350997 
1980 ,29382471938 ,31995325202 
1981 ,33468984502 ,31464145741 
1982 ,34432500947 ,32656302574 
1983 ,34909268599 ,30014784056 
1984 ,40325293701 ,32321126640 
1985 ,41955659471 ,31084935207 
1986 ,35289713887 ,21550717070 
1987 ,33315191383 ,21736912673 
1988 ,33939183158 ,24006319859 
1989 ,37822534626 ,28978572581 
1990 ,41456939674 ,33855207638 
1991 ,42359892974 ,31900153522 
1992 ,43012281444 ,29527419360 
1993 ,40202448725 ,26826357239 
1994 ,40497552697 ,28104327343 
1995 ,41530895121 ,31548753881 
1996 ,44731311206 ,37993421106 
1997 ,50937991859 ,40956182573 
1998 ,50645003938 ,36653647183 
1999 ,47547556241 ,35268008063 
2000 ,51654197760 ,40938422968 
2001 ,48979244311 ,42415533002 
2002 ,52108955735 ,42227505945 
2003 ,54548350172 ,44362023352 
2004 ,61169979094 ,49216636346 
2005 ,65656544157 ,56949392181 
2006 ,75246173392 ,67344293072 
2007 ,83931437612 ,73135920427 
2008 ,81018087607 ,78954749926 
2009 ,54170614088 ,51499377779 
2010 ,67399626696 ,60764956840 
2011 ,65546474948 ,68111187178 
2012 ,63747572215 ,70688631840 
2013 ,69774192950 ,81242545171 
2014 ,73093028311 ,85909112733 
2015 ,75613928862 ,78405535793 
2016 ,70035770383 ,66041973885 
2017 ,78286457048 ,75379231107 
2018 ,81478752674 ,82703304395 
2019 ,76931664915 ,78599509951 
2020 ,68399121047 ,68010831589 
2021 ,83091420293 ,84875044591 
2022 ,98173612089 ,118503152779 
2023 ,100873049041 ,110395119330 
2024 ,107087511087 ,112715960939 
2025 ,110400454682 ,113330098822 
