id,title,publisher,edition,format,availability,url,download_url,local_path,sha256,retrieved_at,rights_url,rights_notes,whitepaper_ref,notes
worldbank-gdp-real,日本の実質GDP（constant LCU）API応答,World Bank,取得日2026-09-22の保存版,json,downloaded,https://api.worldbank.org/v2/country/JPN/indicator/NY.GDP.MKTP.KN?format=json&per_page=100,https://api.worldbank.org/v2/country/JPN/indicator/NY.GDP.MKTP.KN?format=json&per_page=100,raw/context/worldbank-gdp-real.json,0a8a07825f440d40749a66944e519314d6707278eff5c1ff688be9493c5e84cb,2026-09-22T09:53:22.409860+00:00,https://data.worldbank.org/summary-terms-of-use,出典・加工内容を明記。第三者素材の条件は別途確認。World Bankはデータセット固有条件も確認。,横断分析の補助統計。白書掲載時の版と同一と確認したものではない。,補助候補。試作には未使用。白書の特定図との対応は未確認。
mhlw-wage-page,毎月勤労統計2025年12月確報 掲載ページ,厚生労働省,取得日2026-09-22の保存版,html,downloaded,https://www.mhlw.go.jp/toukei/itiran/roudou/monthly/r07/2512r/2512r.html,https://www.mhlw.go.jp/toukei/itiran/roudou/monthly/r07/2512r/2512r.html,raw/context/mhlw-wage-index.html,2bb38e1e161e16f26477658e16ba3878b0307da56ad088ebf1acb875bdd85fe2,2026-09-22T09:53:22.990596+00:00,https://www.mhlw.go.jp/chosakuken/index.html,出典・加工内容を明記。第三者素材の条件は別途確認。World Bankはデータセット固有条件も確認。,横断分析の補助統計。白書掲載時の版と同一と確認したものではない。,2026-02-25公表の確報ページ。賃金指数の出典。
stat-cpi-annual-page,消費者物価指数 2025年平均結果,総務省統計局,取得日2026-09-22の保存版,html,downloaded,https://www.stat.go.jp/data/cpi/sokuhou/nen/index-z.htm,https://www.stat.go.jp/data/cpi/sokuhou/nen/index-z.htm,raw/context/cpi-annual.html,db00591ac26cf527ecb39b0c1a51f36f45ef464129ecee684989d097bd6cd9dc,2026-09-22T09:53:23.081683+00:00,https://www.stat.go.jp/info/riyou.html,出典・加工内容を明記。第三者素材の条件は別途確認。World Bankはデータセット固有条件も確認。,横断分析の補助統計。白書掲載時の版と同一と確認したものではない。,2020年基準の公表年平均を確認するページ。
meti-terms,経済産業省 利用規約,経済産業省,取得日2026-09-22の保存版,html,failed,https://www.meti.go.jp/main/rules.html,https://www.meti.go.jp/main/rules.html,,,2026-09-22T09:53:23.419229+00:00,https://www.meti.go.jp/main/rules.html,出典・加工内容を明記。第三者素材の条件は別途確認。World Bankはデータセット固有条件も確認。,横断分析の補助統計。白書掲載時の版と同一と確認したものではない。,公式検索内容を確認。直接取得は403。
mhlw-wage-indices,毎月勤労統計 時系列表第1表 賃金指数,厚生労働省,取得日2026-09-22の保存版,xlsx,downloaded,https://www.mhlw.go.jp/toukei/itiran/roudou/monthly/r07/2512r/xls/2512t01r.xlsx,https://www.mhlw.go.jp/toukei/itiran/roudou/monthly/r07/2512r/xls/2512t01r.xlsx,raw/context/wages-2025-final.xlsx,6eb5b388ce24efcf38d766e7363edc99bd7fb18c42d67a25cbd052f768770bf2,2026-09-22T09:54:29.577329+00:00,https://www.mhlw.go.jp/chosakuken/index.html,出典・加工内容を明記。第三者素材の条件は別途確認。World Bankはデータセット固有条件も確認。,横断分析の補助統計。白書掲載時の版と同一と確認したものではない。,2022〜2025年の年平均等。2024年ベンチマーク更新に伴い、公表前年比は隣接する指数の単純比と異なる。
mhlw-wage-release,毎月勤労統計2025年12月確報 概況・利用上の注意,厚生労働省,取得日2026-09-22の保存版,pdf,downloaded,https://www.mhlw.go.jp/toukei/itiran/roudou/monthly/r07/2512r/dl/pdf2512r.pdf,https://www.mhlw.go.jp/toukei/itiran/roudou/monthly/r07/2512r/dl/pdf2512r.pdf,raw/context/wages-2025-final.pdf,ddeda40817b9edf89efaa3988414921ea8cb8bc6a959d44668bd8a1605c991d7,2026-09-22T09:54:29.707364+00:00,https://www.mhlw.go.jp/chosakuken/index.html,出典・加工内容を明記。第三者素材の条件は別途確認。World Bankはデータセット固有条件も確認。,横断分析の補助統計。白書掲載時の版と同一と確認したものではない。,計算上の注意を原PDFで確認。
stat-cpi-results,消費者物価指数 結果一覧,総務省統計局,取得日2026-09-22の保存版,html,downloaded,https://www.stat.go.jp/data/cpi/1.htm,https://www.stat.go.jp/data/cpi/1.htm,raw/context/cpi-results.html,f9852e3eeba3cd2c778fa872b8d23bd1659e211860bc2bfbf1fca5d5a9ba77ab,2026-09-22T09:54:29.884065+00:00,https://www.stat.go.jp/info/riyou.html,出典・加工内容を明記。第三者素材の条件は別途確認。World Bankはデータセット固有条件も確認。,横断分析の補助統計。白書掲載時の版と同一と確認したものではない。,2020年基準と2025年基準の公開先を区別。
worldbank-gdp-metadata,実質GDP指標の定義・データ源,World Bank,取得日2026-09-22の保存版,json,downloaded,https://api.worldbank.org/v2/indicator/NY.GDP.MKTP.KN?format=json,https://api.worldbank.org/v2/indicator/NY.GDP.MKTP.KN?format=json,raw/context/worldbank-gdp-metadata.json,70eaa4a629f8784882e750473324d826b8bdf201b2f625848721290454de256a,2026-09-22T09:54:30.120803+00:00,https://data.worldbank.org/summary-terms-of-use,出典・加工内容を明記。第三者素材の条件は別途確認。World Bankはデータセット固有条件も確認。,横断分析の補助統計。白書掲載時の版と同一と確認したものではない。,補助候補の定義情報。
stat-cpi-2020-monthly,消費者物価指数 2020年基準 全国月次・小数第3位,総務省統計局,取得日2026-09-22の保存版,csv,downloaded,https://www.stat.go.jp/data/cpi/2020/csv/zmi2020aa.csv,https://www.stat.go.jp/data/cpi/2020/csv/zmi2020aa.csv,raw/context/cpi-monthly-2020base.csv,960d55d484dd0c98ff107bd766e521cba600d75d0fa0424cfe54eea075e76b77,2026-09-22T09:55:37.499071+00:00,https://www.stat.go.jp/info/riyou.html,出典・加工内容を明記。第三者素材の条件は別途確認。World Bankはデータセット固有条件も確認。,横断分析の補助統計。白書掲載時の版と同一と確認したものではない。,2020年1月〜2026年8月、786列。試作では3系列を抽出し、12か月そろう2020〜2025年を再集計。
energy-estat-index-1,総合エネルギー統計 e-Stat一覧 1,資源エネルギー庁（e-Stat掲載）,2026-04-14更新系列,html,downloaded,https://www.e-stat.go.jp/stat-search/files?cycle=7&layout=dataset&page=1&result_page=1&tclass1=000001024837&tclass2val=0&toukei=00551010&toukei_kind=9&tstat=000001024835,https://www.e-stat.go.jp/stat-search/files?cycle=7&layout=dataset&page=1&result_page=1&tclass1=000001024837&tclass2val=0&toukei=00551010&toukei_kind=9&tstat=000001024835,raw/energy/estat-balance-index-1.html,5c81fa19da212b42e05995be86e9e97fbd034ceb5a45f0bba82d8ae16b96b05e,2026-09-22T09:55:16.577631+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,
