"calendar_year","series_id","label","transformed_value","display_value","display_unit","original_value","original_unit","source_url","source_sha256","retrieved_at","transformation","base_year"
"2022","fuel_imports","鉱物性燃料の輸入額","98.14638084904385","98.1","前年比（%）","33699030785","千円","https://www.customs.go.jp/toukei/suii/html/data/d61ca.csv","4fc0e2c09c73e4c5d92df7e232fbf3be4c2cbf434818df0926a18079310096e1","2026-09-22T09:52:22.241062+00:00","yoy",""
"2022","cpi_energy","家庭のエネルギー価格","17.062003490647637","17.1","前年比（%）","121.67941666666667","2020年=100","https://www.stat.go.jp/data/cpi/2020/csv/zmi2020aa.csv","960d55d484dd0c98ff107bd766e521cba600d75d0fa0424cfe54eea075e76b77","2026-09-22T09:55:37.499071+00:00","yoy",""
"2022","cpi_all","物価全体","2.5179940253820865","2.5","前年比（%）","102.26716666666667","2020年=100","https://www.stat.go.jp/data/cpi/2020/csv/zmi2020aa.csv","960d55d484dd0c98ff107bd766e521cba600d75d0fa0424cfe54eea075e76b77","2026-09-22T09:55:37.499071+00:00","yoy",""
"2023","fuel_imports","鉱物性燃料の輸入額","-18.85344328308699","-18.9","前年比（%）","27345603129","千円","https://www.customs.go.jp/toukei/suii/html/data/d61ca.csv","4fc0e2c09c73e4c5d92df7e232fbf3be4c2cbf434818df0926a18079310096e1","2026-09-22T09:52:22.241062+00:00","yoy",""
"2023","cpi_energy","家庭のエネルギー価格","-6.01272606363853","-6.0","前年比（%）","114.36316666666667","2020年=100","https://www.stat.go.jp/data/cpi/2020/csv/zmi2020aa.csv","960d55d484dd0c98ff107bd766e521cba600d75d0fa0424cfe54eea075e76b77","2026-09-22T09:55:37.499071+00:00","yoy",""
"2023","cpi_all","物価全体","3.248517363832959","3.2","前年比（%）","105.58933333333333","2020年=100","https://www.stat.go.jp/data/cpi/2020/csv/zmi2020aa.csv","960d55d484dd0c98ff107bd766e521cba600d75d0fa0424cfe54eea075e76b77","2026-09-22T09:55:37.499071+00:00","yoy",""
"2024","fuel_imports","鉱物性燃料の輸入額","-6.726711560621068","-6.7","前年比（%）","25506143282","千円","https://www.customs.go.jp/toukei/suii/html/data/d61ca.csv","4fc0e2c09c73e4c5d92df7e232fbf3be4c2cbf434818df0926a18079310096e1","2026-09-22T09:52:22.241062+00:00","yoy",""
"2024","cpi_energy","家庭のエネルギー価格","3.831653256657508","3.8","前年比（%）","118.74516666666666","2020年=100","https://www.stat.go.jp/data/cpi/2020/csv/zmi2020aa.csv","960d55d484dd0c98ff107bd766e521cba600d75d0fa0424cfe54eea075e76b77","2026-09-22T09:55:37.499071+00:00","yoy",""
"2024","cpi_all","物価全体","2.737334579250428","2.7","前年比（%）","108.47966666666666","2020年=100","https://www.stat.go.jp/data/cpi/2020/csv/zmi2020aa.csv","960d55d484dd0c98ff107bd766e521cba600d75d0fa0424cfe54eea075e76b77","2026-09-22T09:55:37.499071+00:00","yoy",""
"2025","fuel_imports","鉱物性燃料の輸入額","-13.177875125370353","-13.2","前年比（%）","22144975571","千円","https://www.customs.go.jp/toukei/suii/html/data/d61ca.csv","4fc0e2c09c73e4c5d92df7e232fbf3be4c2cbf434818df0926a18079310096e1","2026-09-22T09:52:22.241062+00:00","yoy",""
"2025","cpi_energy","家庭のエネルギー価格","3.5963569043511834","3.6","前年比（%）","123.01566666666666","2020年=100","https://www.stat.go.jp/data/cpi/2020/csv/zmi2020aa.csv","960d55d484dd0c98ff107bd766e521cba600d75d0fa0424cfe54eea075e76b77","2026-09-22T09:55:37.499071+00:00","yoy",""
"2025","cpi_all","物価全体","3.193301970568996","3.2","前年比（%）","111.94375","2020年=100","https://www.stat.go.jp/data/cpi/2020/csv/zmi2020aa.csv","960d55d484dd0c98ff107bd766e521cba600d75d0fa0424cfe54eea075e76b77","2026-09-22T09:55:37.499071+00:00","yoy",""
